"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","leukocyte activation involved in immune response","GO:0002366","false","0.00004167447655812077","4.380129846313332","316","844","32","21026","LOXL3,MILR1,IL27,FCER1G,ICAM1,CD300A,ITGAM,IL18R1,GRN,CLEC4E,TYROBP,BCL6,NMI,SEMA4A,CEACAM1,IFI35,SOCS3,CR1,DYSF,SLC11A1,FES,SBNO2,ADGRE2,ANXA3,PGLYRP1,CD177,CLEC4D,CHGA,IL10,TREM2,SUCNR1,TMEM98"
"GO:BP","killing by host of symbiont cells","GO:0051873","false","0.00004374411347537434","4.3590803805197105","30","844","9","21026","APOL1,GAPDH,ELANE,ARG1,CAMP,AZU1,PF4,NLRP6,CTSG"
"GO:BP","amyloid-beta clearance","GO:0097242","false","0.000043996249108734065","4.356584347623283","38","844","10","21026","ITGAM,CLU,TYROBP,CD36,LRP2,MARCO,MSR1,TREM2,APOE,LRP4"
"GO:BP","humoral immune response mediated by circulating immunoglobulin","GO:0002455","false","0.00004442525772808707","4.352370044005241","56","844","12","21026","CLU,CD55,SERPING1,CR1,NOD2,C1QA,C1R,C2,CFB,CR1L,C1QC,TREM2"
"GO:BP","regulation of apoptotic signaling pathway","GO:2001233","false","0.000045377847101970854","4.3431561125479","380","844","36","21026","GPER1,ICAM1,LTBR,GRINA,PLAUR,CLU,MMP9,S100A9,FAS,LRRK2,DDIAS,PINK1,VNN1,G0S2,NOL3,TNFSF10,INHBB,IL1B,PML,THBS1,SEPTIN4,PF4,NRG1,MMP2,NUPR1,ATF3,S100A8,PPARG,MUC1,YBX3,IL10,TREM2,CREB3L1,COL2A1,CTSV,NRP1"
"GO:BP","lymphocyte mediated immunity","GO:0002449","false","0.000048066184804948434","4.318160348100487","381","844","36","21026","FCGR1A,CD274,FCER1G,ICAM1,SECTM1,FCGR2A,IL18R1,CLU,TLR8,BCL6,FZD5,CD55,CEACAM1,IL18RAP,IL1R1,SERPING1,ARG1,CR1,NOD2,C1QA,IL1B,RASGRP4,C1R,C2,FUT7,CLEC12B,CFB,HLA-G,CR1L,CALHM6,FCGR3B,IL10,C1QC,TREM2,IGHV4-28,IGHV2-70"
"GO:BP","cytokine production involved in immune response","GO:0002367","false","0.00005010698806574839","4.300101701941988","123","844","18","21026","IRAK3,SECTM1,IL18R1,CD36,BCL6,FZD5,CD55,TLR9,FFAR2,IL1R1,ARG1,NOD2,IL1B,FFAR3,HLA-G,CALHM6,IL10,PRG2"
"GO:BP","response to virus","GO:0009615","false","0.00005010698806574839","4.300101701941988","414","844","38","21026","NPC2,IRAK3,GBP2,AIM2,IL27,CASP1,TLR2,TRIM21,ATG7,TRIM25,CLU,TLR8,GBP1,IFITM1,IRF1,PARP9,TRIM7,GBP5,STAT1,IFITM3,TRIM22,MAPK14,NMI,GBP3,TLR9,DEFA3,IL1B,IFITM2,PML,DDX60L,AZU1,PLSCR1,RTP4,NLRP6,ACOD1,APOBEC3B,RNASE2,IFI27"
"GO:BP","regulation of cytokine production involved in immune response","GO:0002718","false","0.00005010698806574839","4.300101701941988","123","844","18","21026","IRAK3,SECTM1,IL18R1,CD36,BCL6,FZD5,CD55,TLR9,FFAR2,IL1R1,ARG1,NOD2,IL1B,FFAR3,HLA-G,CALHM6,IL10,PRG2"
"GO:BP","negative regulation of innate immune response","GO:0045824","false","0.000050325135983374","4.298215042932121","88","844","15","21026","IRAK3,TRIM21,GRN,NMI,CEACAM1,SERPING1,ARG1,CR1,VSIG4,SLAMF8,CLEC12B,SFN,HLA-G,ACOD1,PPARG"
